gauge_id,type,period,pct,p
1496,Observed,1978-1990,-0.896,0.5371
1496,Raw GloFAS-ERA5,1979-2025,0.216,0.2057
1496,Bias-corrected GloFAS-ERA5,1979-2025,0.061,0.8689
1497,Observed,1958-1996,-0.715,0.0628
1497,Raw GloFAS-ERA5,1979-2025,0.227,0.2261
1497,Bias-corrected GloFAS-ERA5,1979-2025,0.131,0.5696
1499,Observed,1958-1993,-0.195,0.5321
1499,Raw GloFAS-ERA5,1979-2025,0.270,0.0988
1499,Bias-corrected GloFAS-ERA5,1979-2025,0.257,0.2261
1502,Observed,1978-1990,âˆ’1.73,0.4507
1502,Raw GloFAS-ERA5,1979-2025,0.230,0.3131
1502,Bias-corrected GloFAS-ERA5,1979-2025,0.210,0.5329
1504,Observed,1979-1990,1.36,0.4363
1504,Raw GloFAS-ERA5,1979-2025,0.403,0.0241
1504,Bias-corrected GloFAS-ERA5,1979-2025,0.502,0.0019
1508,Observed,1980-1994,4.88,0.1926
1508,Raw GloFAS-ERA5,1979-2025,0.333,0.1423
1508,Bias-corrected GloFAS-ERA5,1979-2025,0.270,0.4744
1587,Observed,1979-1990,1.22,0.2105
1587,Raw GloFAS-ERA5,1979-2025,0.472,0.0349
1587,Bias-corrected GloFAS-ERA5,1979-2025,0.502,0.0365
